,s_visi,s_cond,e_visi,e_cond
2237,10.0,Clear,10.0,Clear
2238,8.0,Overcast,8.0,Overcast
2239,10.0,Overcast,10.0,Overcast
2240,9.0,Clear,9.0,Clear
2241,10.0,Partly Cloudy,10.0,Partly Cloudy
2242,10.0,Clear,10.0,Clear
2243,10.0,Clear,10.0,Clear
2244,10.0,Overcast,10.0,Overcast
2245,10.0,Scattered Clouds,10.0,Scattered Clouds
2246,6.0,Overcast,2.5,Rain
2247,10.0,Clear,10.0,Clear
2248,10.0,Clear,10.0,Clear
2249,10.0,Overcast,10.0,Overcast
2250,10.0,Clear,10.0,Clear
2251,10.0,Clear,10.0,Clear
2252,10.0,Clear,10.0,Clear
2253,5.0,Overcast,6.0,Haze
2254,10.0,Clear,10.0,Clear
2255,10.0,Overcast,10.0,Mostly Cloudy
2256,10.0,Clear,10.0,Clear
2257,10.0,Clear,10.0,Clear
2258,10.0,Clear,10.0,Clear
2259,10.0,Clear,10.0,Clear
2260,10.0,Clear,10.0,Clear
2261,5.0,Light Rain,7.0,Overcast
2262,10.0,Clear,10.0,Clear
2263,10.0,Clear,10.0,Clear
2264,10.0,Partly Cloudy,10.0,Partly Cloudy
2265,7.0,Clear,7.0,Clear
2266,10.0,Clear,10.0,Clear
2267,7.0,Clear,7.0,Clear
2268,10.0,Clear,10.0,Clear
2269,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2270,7.0,Clear,7.0,Clear
2271,7.0,Overcast,7.0,Overcast
2272,10.0,Overcast,10.0,Overcast
2273,10.0,Clear,10.0,Clear
2274,9.0,Clear,9.0,Clear
2275,10.0,Clear,10.0,Clear
2276,10.0,Scattered Clouds,10.0,Scattered Clouds
2277,10.0,Clear,10.0,Clear
2278,10.0,Clear,10.0,Clear
2279,10.0,Clear,10.0,Clear
2280,10.0,Scattered Clouds,10.0,Scattered Clouds
2281,10.0,Clear,10.0,Clear
2282,10.0,Clear,10.0,Clear
2283,10.0,Clear,10.0,Clear
2284,10.0,Clear,10.0,Clear
2285,10.0,Overcast,10.0,Overcast
2286,10.0,Clear,10.0,Clear
2287,8.0,Clear,8.0,Clear
2288,8.0,Clear,8.0,Clear
2289,10.0,Mostly Cloudy,10.0,Scattered Clouds
2290,10.0,Scattered Clouds,10.0,Scattered Clouds
2291,10.0,Mostly Cloudy,10.0,Scattered Clouds
2292,10.0,Clear,10.0,Clear
2293,10.0,Partly Cloudy,10.0,Partly Cloudy
2294,10.0,Clear,10.0,Clear
2295,7.0,Mostly Cloudy,7.0,Mostly Cloudy
2296,10.0,Scattered Clouds,10.0,Mostly Cloudy
2297,10.0,Clear,10.0,Clear
2298,10.0,Overcast,10.0,Mostly Cloudy
2299,10.0,Clear,10.0,Clear
2300,10.0,Overcast,10.0,Overcast
2301,10.0,Clear,10.0,Clear
2302,7.0,Clear,7.0,Clear
2303,6.0,Haze,6.0,Haze
2304,10.0,Clear,10.0,Clear
2305,10.0,Clear,10.0,Clear
2306,10.0,Overcast,10.0,Overcast
2307,10.0,Clear,10.0,Clear
2308,9.0,Mostly Cloudy,9.0,Mostly Cloudy
2309,8.0,Clear,8.0,Clear
2310,10.0,Overcast,10.0,Overcast
2311,10.0,Clear,10.0,Clear
2312,10.0,Clear,10.0,Clear
2313,10.0,Clear,10.0,Clear
2314,10.0,Overcast,10.0,Overcast
2315,7.0,Partly Cloudy,7.0,Partly Cloudy
2316,8.0,Clear,9.0,Clear
2317,10.0,Clear,10.0,Clear
2318,10.0,Clear,10.0,Clear
2319,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2320,10.0,Overcast,10.0,Overcast
2321,10.0,Clear,10.0,Clear
2322,10.0,Overcast,10.0,Overcast
2323,10.0,Clear,10.0,Clear
2324,10.0,Clear,10.0,Clear
2325,10.0,Clear,10.0,Clear
2326,10.0,Clear,10.0,Clear
2327,10.0,Scattered Clouds,10.0,Mostly Cloudy
2328,10.0,Mostly Cloudy,10.0,Overcast
2329,10.0,Clear,10.0,Clear
2330,10.0,Overcast,10.0,Overcast
2331,3.0,Light Rain,3.0,Light Rain
2332,10.0,Mostly Cloudy,10.0,Partly Cloudy
2333,10.0,Overcast,10.0,Overcast
2334,10.0,Clear,10.0,Clear
2335,10.0,Clear,10.0,Clear
2336,10.0,Clear,10.0,Clear
2337,10.0,Partly Cloudy,10.0,Partly Cloudy
2338,10.0,Clear,10.0,Clear
2339,10.0,Clear,10.0,Clear
2340,8.0,Clear,8.0,Clear
2341,7.0,Clear,7.0,Clear
2342,10.0,Clear,10.0,Clear
2343,10.0,Overcast,10.0,Overcast
2344,10.0,Clear,10.0,Clear
2345,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2346,10.0,Overcast,10.0,Overcast
2347,10.0,Clear,10.0,Clear
2348,10.0,Clear,10.0,Clear
2349,10.0,Clear,10.0,Clear
2350,10.0,Clear,10.0,Clear
2351,10.0,Mostly Cloudy,10.0,Overcast
2352,10.0,Clear,10.0,Clear
2353,10.0,Clear,10.0,Clear
2354,10.0,Clear,10.0,Clear
2355,10.0,Clear,10.0,Clear
2356,5.0,Light Rain,5.0,Light Rain
2357,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2358,10.0,Clear,10.0,Clear
2359,10.0,Clear,10.0,Clear
2360,10.0,Clear,10.0,Clear
2361,9.0,Clear,9.0,Clear
2362,10.0,Clear,10.0,Clear
2363,10.0,Clear,10.0,Clear
2364,10.0,Clear,10.0,Clear
2365,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2366,10.0,Partly Cloudy,10.0,Partly Cloudy
2367,10.0,Clear,10.0,Clear
2368,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2369,10.0,Scattered Clouds,10.0,Scattered Clouds
2370,10.0,Clear,10.0,Clear
2371,3.0,Light Rain,3.0,Light Rain
2372,10.0,Clear,10.0,Clear
2373,10.0,Partly Cloudy,10.0,Partly Cloudy
2374,10.0,Clear,10.0,Clear
2375,10.0,Clear,10.0,Clear
2376,10.0,Clear,10.0,Clear
2377,10.0,Clear,10.0,Clear
2378,10.0,Clear,10.0,Clear
2379,10.0,Partly Cloudy,10.0,Partly Cloudy
2380,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2381,10.0,Clear,10.0,Clear
2382,10.0,Clear,10.0,Clear
2383,10.0,Clear,10.0,Clear
2384,10.0,Overcast,10.0,Overcast
2385,9.0,Overcast,9.0,Overcast
2386,10.0,Clear,10.0,Clear
2387,10.0,Clear,10.0,Clear
2388,9.0,Clear,9.0,Clear
2389,9.0,Overcast,9.0,Overcast
2390,10.0,Clear,10.0,Clear
2391,10.0,Overcast,10.0,Overcast
2392,7.0,Overcast,7.0,Overcast
2393,10.0,Overcast,10.0,Overcast
2394,9.0,Clear,9.0,Clear
2395,10.0,Clear,10.0,Clear
2396,10.0,Scattered Clouds,10.0,Scattered Clouds
2397,10.0,Clear,10.0,Clear
2398,10.0,Clear,10.0,Clear
2399,7.0,Overcast,9.0,Overcast
2400,10.0,Clear,10.0,Clear
2401,10.0,Clear,10.0,Clear
2402,10.0,Clear,10.0,Partly Cloudy
2403,8.0,Mostly Cloudy,8.0,Mostly Cloudy
2404,10.0,Clear,10.0,Clear
2405,10.0,Scattered Clouds,10.0,Scattered Clouds
2406,10.0,Overcast,10.0,Overcast
2407,10.0,Clear,10.0,Clear
2408,10.0,Clear,10.0,Clear
2409,9.0,Clear,9.0,Clear
2410,10.0,Clear,10.0,Clear
2411,10.0,Clear,10.0,Clear
2412,10.0,Overcast,10.0,Overcast
2413,10.0,Clear,10.0,Clear
2414,5.0,Haze,6.0,Haze
2415,10.0,Overcast,10.0,Overcast
2416,9.0,Scattered Clouds,9.0,Scattered Clouds
2417,10.0,Overcast,10.0,Overcast
2418,10.0,Scattered Clouds,10.0,Scattered Clouds
2419,10.0,Clear,10.0,Clear
2420,10.0,Clear,10.0,Clear
2421,10.0,Clear,10.0,Clear
2422,10.0,Clear,10.0,Clear
2423,8.0,Partly Cloudy,8.0,Partly Cloudy
2424,10.0,Clear,10.0,Clear
2425,10.0,Clear,10.0,Clear
2426,9.0,Overcast,9.0,Overcast
2427,10.0,Clear,10.0,Clear
2428,10.0,Clear,10.0,Clear
2429,10.0,Clear,10.0,Clear
2430,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2431,10.0,Clear,10.0,Clear
2432,10.0,Partly Cloudy,10.0,Partly Cloudy
2433,10.0,Clear,10.0,Clear
2434,9.0,Clear,9.0,Clear
2435,8.0,Mostly Cloudy,8.0,Mostly Cloudy
2436,10.0,Clear,10.0,Clear
2437,8.0,Clear,8.0,Clear
2438,10.0,Clear,10.0,Clear
2439,6.0,Haze,7.0,Partly Cloudy
2440,10.0,Clear,10.0,Clear
2441,10.0,Partly Cloudy,10.0,Partly Cloudy
2442,10.0,Clear,10.0,Clear
2443,8.0,Partly Cloudy,8.0,Partly Cloudy
2444,5.0,Haze,5.0,Haze
2445,10.0,Clear,10.0,Clear
2446,10.0,Overcast,10.0,Overcast
2447,10.0,Clear,10.0,Clear
2448,8.0,Clear,8.0,Clear
2449,10.0,Clear,10.0,Clear
2450,7.0,Clear,7.0,Clear
2451,10.0,Overcast,10.0,Overcast
2452,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2453,8.0,Partly Cloudy,9.0,Scattered Clouds
2454,8.0,Clear,9.0,Clear
2455,10.0,Clear,10.0,Clear
2456,10.0,Clear,10.0,Clear
2457,10.0,Overcast,10.0,Overcast
2458,10.0,Overcast,10.0,Overcast
2459,10.0,Clear,10.0,Clear
2460,10.0,Scattered Clouds,10.0,Clear
2461,10.0,Clear,10.0,Clear
2462,10.0,Overcast,10.0,Overcast
2463,10.0,Clear,10.0,Clear
2464,5.0,Light Rain,5.0,Light Rain
2465,10.0,Scattered Clouds,10.0,Scattered Clouds
2466,10.0,Clear,10.0,Clear
2467,10.0,Clear,10.0,Clear
2468,8.0,Clear,8.0,Clear
2469,4.0,Light Rain,4.0,Light Rain
2470,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2471,10.0,Clear,10.0,Clear
2472,10.0,Clear,10.0,Clear
2473,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2474,10.0,Overcast,10.0,Overcast
2475,7.0,Overcast,7.0,Overcast
2476,6.0,Overcast,6.0,Overcast
2477,10.0,Overcast,1.8,Rain
2478,10.0,Clear,10.0,Clear
2479,10.0,Clear,10.0,Clear
2480,10.0,Clear,10.0,Clear
2481,10.0,Clear,10.0,Clear
2482,10.0,Clear,10.0,Clear
2483,5.0,Haze,5.0,Haze
2484,10.0,Clear,10.0,Clear
2485,10.0,Clear,10.0,Clear
2486,9.0,Clear,9.0,Clear
2487,9.0,Clear,9.0,Clear
2488,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2489,10.0,Clear,10.0,Clear
2490,10.0,Clear,10.0,Clear
2491,10.0,Overcast,10.0,Overcast
2492,7.0,Clear,7.0,Clear
2493,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2494,7.0,Partly Cloudy,6.0,Haze
2495,10.0,Clear,10.0,Clear
2496,9.0,Clear,9.0,Clear
2497,7.0,Light Rain,2.0,Rain
2498,10.0,Clear,10.0,Clear
2499,6.0,Haze,6.0,Haze
2500,10.0,Clear,10.0,Clear
2501,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2502,7.0,Clear,7.0,Clear
2503,10.0,Clear,10.0,Clear
2504,10.0,Clear,10.0,Clear
2505,10.0,Clear,10.0,Clear
2506,10.0,Overcast,1.8,Rain
2507,8.0,Clear,9.0,Clear
2508,10.0,Clear,10.0,Clear
2509,10.0,Clear,10.0,Clear
2510,10.0,Scattered Clouds,10.0,Scattered Clouds
2511,9.0,Clear,9.0,Clear
2512,10.0,Clear,10.0,Clear
2513,10.0,Clear,10.0,Clear
2514,8.0,Partly Cloudy,8.0,Partly Cloudy
2515,6.0,Haze,6.0,Haze
2516,7.0,Overcast,8.0,Overcast
2517,10.0,Clear,10.0,Clear
2518,9.0,Scattered Clouds,9.0,Scattered Clouds
2519,6.0,Haze,6.0,Haze
2520,8.0,Clear,8.0,Clear
2521,6.0,Light Rain,6.0,Light Rain
2522,6.0,Overcast,6.0,Overcast
2523,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2524,10.0,Clear,10.0,Clear
2525,10.0,Clear,10.0,Clear
2526,6.0,Haze,6.0,Haze
2527,10.0,Clear,10.0,Clear
2528,10.0,Clear,10.0,Clear
2529,10.0,Mostly Cloudy,10.0,Overcast
2530,10.0,Clear,10.0,Clear
2531,10.0,Overcast,10.0,Overcast
2532,10.0,Clear,10.0,Clear
2533,10.0,Scattered Clouds,10.0,Mostly Cloudy
2534,7.0,Partly Cloudy,7.0,Partly Cloudy
2535,10.0,Partly Cloudy,10.0,Clear
2536,8.0,Clear,8.0,Clear
2537,10.0,Clear,10.0,Clear
2538,10.0,Clear,10.0,Clear
2539,7.0,Clear,7.0,Clear
2540,7.0,Partly Cloudy,7.0,Partly Cloudy
2541,10.0,Clear,10.0,Clear
2542,10.0,Clear,10.0,Clear
2543,10.0,Clear,10.0,Clear
2544,10.0,Scattered Clouds,10.0,Mostly Cloudy
2545,10.0,Clear,10.0,Clear
2546,10.0,Clear,10.0,Clear
2547,10.0,Clear,10.0,Clear
2548,10.0,Overcast,10.0,Mostly Cloudy
2549,10.0,Clear,10.0,Clear
2550,10.0,Clear,10.0,Clear
2551,10.0,Clear,10.0,Clear
2552,8.0,Clear,8.0,Clear
2553,10.0,Clear,10.0,Clear
2554,10.0,Clear,10.0,Clear
2555,6.0,Haze,7.0,Partly Cloudy
2556,9.0,Clear,9.0,Clear
2557,4.0,Light Rain,4.0,Light Rain
2558,10.0,Overcast,10.0,Overcast
2559,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2560,7.0,Light Rain,7.0,Light Rain
2561,10.0,Clear,10.0,Clear
2562,10.0,Clear,10.0,Clear
2563,10.0,Clear,10.0,Clear
2564,10.0,Clear,10.0,Clear
2565,10.0,Clear,10.0,Clear
2566,10.0,Scattered Clouds,10.0,Scattered Clouds
2567,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2568,1.8,Heavy Rain,3.0,Light Rain
2569,10.0,Clear,10.0,Clear
2570,8.0,Clear,8.0,Clear
2571,10.0,Clear,10.0,Clear
2572,10.0,Overcast,10.0,Overcast
2573,10.0,Clear,10.0,Clear
2574,5.0,Light Rain,7.0,Overcast
2575,10.0,Partly Cloudy,10.0,Partly Cloudy
2576,8.0,Clear,8.0,Clear
2577,7.0,Clear,7.0,Clear
2578,10.0,Clear,10.0,Clear
2579,10.0,Clear,10.0,Clear
2580,10.0,Clear,10.0,Clear
2581,6.0,Haze,6.0,Haze
2582,10.0,Clear,10.0,Clear
2583,10.0,Overcast,10.0,Overcast
2584,10.0,Clear,10.0,Clear
2585,10.0,Mostly Cloudy,10.0,Overcast
2586,10.0,Clear,10.0,Clear
2587,10.0,Overcast,10.0,Overcast
2588,10.0,Clear,10.0,Clear
2589,10.0,Clear,10.0,Clear
2590,10.0,Clear,10.0,Clear
2591,1.8,Heavy Rain,1.8,Heavy Rain
2592,10.0,Clear,10.0,Clear
2593,10.0,Clear,10.0,Mostly Cloudy
2594,10.0,Clear,10.0,Clear
2595,10.0,Clear,10.0,Clear
2596,10.0,Clear,10.0,Clear
2597,10.0,Clear,10.0,Clear
2598,10.0,Clear,10.0,Clear
2599,10.0,Partly Cloudy,10.0,Partly Cloudy
2600,8.0,Clear,8.0,Clear
2601,10.0,Clear,10.0,Clear
2602,10.0,Clear,10.0,Clear
2603,10.0,Clear,10.0,Clear
2604,10.0,Clear,10.0,Clear
2605,10.0,Clear,10.0,Clear
2606,10.0,Clear,10.0,Clear
2607,10.0,Clear,10.0,Clear
2608,10.0,Clear,10.0,Clear
2609,1.0,Light Rain,7.0,Overcast
2610,10.0,Overcast,10.0,Overcast
2611,8.0,Clear,8.0,Clear
2612,6.0,Haze,6.0,Haze
2613,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2614,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2615,10.0,Clear,10.0,Clear
2616,10.0,Scattered Clouds,10.0,Mostly Cloudy
2617,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2618,10.0,Overcast,10.0,Overcast
2619,10.0,Clear,10.0,Clear
2620,10.0,Clear,10.0,Clear
2621,10.0,Clear,10.0,Clear
2622,9.0,Clear,9.0,Clear
2623,6.0,Haze,6.0,Haze
2624,10.0,Clear,10.0,Clear
2625,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2626,10.0,Partly Cloudy,10.0,Partly Cloudy
2627,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2628,10.0,Clear,10.0,Clear
2629,10.0,Clear,10.0,Clear
2630,10.0,Clear,10.0,Clear
2631,10.0,Clear,10.0,Clear
2632,10.0,Partly Cloudy,10.0,Partly Cloudy
2633,10.0,Clear,10.0,Clear
2634,10.0,Clear,10.0,Clear
2635,10.0,Clear,10.0,Clear
2636,10.0,Clear,10.0,Clear
2637,10.0,Overcast,10.0,Overcast
2638,10.0,Clear,10.0,Clear
2639,9.0,Overcast,7.0,Light Rain
2640,10.0,Clear,10.0,Clear
2641,8.0,Mostly Cloudy,8.0,Mostly Cloudy
2642,10.0,Partly Cloudy,10.0,Partly Cloudy
2643,10.0,Partly Cloudy,10.0,Clear
2644,10.0,Partly Cloudy,10.0,Partly Cloudy
2645,10.0,Overcast,10.0,Overcast
2646,10.0,Scattered Clouds,10.0,Partly Cloudy
2647,10.0,Clear,10.0,Clear
2648,10.0,Clear,10.0,Clear
2649,10.0,Clear,10.0,Clear
2650,10.0,Clear,10.0,Clear
2651,6.0,Haze,6.0,Haze
2652,10.0,Clear,10.0,Clear
2653,10.0,Clear,10.0,Clear
2654,10.0,Clear,10.0,Clear
2655,9.0,Clear,9.0,Clear
2656,10.0,Clear,10.0,Clear
2657,10.0,Clear,10.0,Clear
2658,10.0,Clear,10.0,Clear
2659,8.0,Mostly Cloudy,8.0,Overcast
2660,5.0,Haze,5.0,Haze
2661,10.0,Clear,10.0,Clear
2662,10.0,Clear,10.0,Clear
2663,10.0,Scattered Clouds,10.0,Scattered Clouds
2664,10.0,Clear,10.0,Clear
2665,10.0,Clear,10.0,Clear
2666,10.0,Clear,10.0,Clear
2667,3.0,Light Rain,2.5,Light Rain
2668,10.0,Clear,10.0,Clear
2669,10.0,Mostly Cloudy,10.0,Clear
2670,10.0,Clear,10.0,Clear
2671,10.0,Clear,10.0,Clear
2672,9.0,Overcast,9.0,Overcast
2673,10.0,Clear,10.0,Mostly Cloudy
2674,10.0,Clear,10.0,Clear
2675,10.0,Clear,10.0,Clear
2676,10.0,Scattered Clouds,10.0,Scattered Clouds
2677,10.0,Clear,10.0,Clear
2678,10.0,Clear,10.0,Clear
2679,10.0,Clear,10.0,Clear
2680,10.0,Partly Cloudy,10.0,Partly Cloudy
2681,7.0,Clear,7.0,Clear
2682,10.0,Clear,10.0,Clear
2683,10.0,Clear,10.0,Clear
2684,8.0,Clear,8.0,Clear
2685,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2686,10.0,Overcast,10.0,Overcast
2687,6.0,Haze,6.0,Haze
2688,10.0,Clear,10.0,Clear
2689,10.0,Scattered Clouds,10.0,Scattered Clouds
2690,3.0,Light Rain,6.0,Light Rain
2691,10.0,Overcast,10.0,Overcast
2692,10.0,Clear,10.0,Clear
2693,10.0,Clear,10.0,Clear
2694,10.0,Clear,10.0,Clear
2695,10.0,Clear,10.0,Clear
2696,7.0,Overcast,7.0,Overcast
2697,10.0,Scattered Clouds,10.0,Mostly Cloudy
2698,10.0,Clear,10.0,Clear
2699,6.0,Overcast,10.0,Overcast
2700,2.5,Rain,3.0,Light Rain
2701,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2702,10.0,Clear,10.0,Clear
2703,10.0,Mostly Cloudy,10.0,Clear
2704,10.0,Clear,10.0,Clear
2705,10.0,Clear,10.0,Clear
2706,10.0,Clear,10.0,Clear
2707,9.0,Mostly Cloudy,10.0,Scattered Clouds
2708,10.0,Clear,10.0,Clear
2709,10.0,Clear,10.0,Scattered Clouds
2710,10.0,Scattered Clouds,10.0,Scattered Clouds
2711,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2712,10.0,Clear,10.0,Clear
2713,10.0,Clear,10.0,Clear
2714,10.0,Clear,10.0,Clear
2715,5.0,Haze,5.0,Haze
2716,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2717,10.0,Clear,10.0,Clear
2718,10.0,Clear,10.0,Clear
2719,9.0,Scattered Clouds,10.0,Mostly Cloudy
2720,7.0,Clear,7.0,Clear
2721,10.0,Clear,10.0,Mostly Cloudy
2722,10.0,Clear,10.0,Clear
2723,10.0,Clear,10.0,Clear
2724,10.0,Clear,10.0,Clear
2725,10.0,Overcast,10.0,Overcast
2726,10.0,Clear,10.0,Clear
2727,10.0,Clear,10.0,Clear
2728,10.0,Overcast,10.0,Overcast
2729,10.0,Clear,10.0,Clear
2730,10.0,Clear,10.0,Clear
2731,3.0,Light Rain,3.0,Light Rain
2732,10.0,Clear,10.0,Clear
2733,10.0,Clear,10.0,Clear
2734,10.0,Clear,10.0,Clear
2735,10.0,Clear,10.0,Clear
2736,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2737,5.0,Haze,5.0,Haze
2738,10.0,Clear,10.0,Clear
2739,10.0,Clear,10.0,Clear
2740,10.0,Clear,10.0,Clear
2741,10.0,Clear,10.0,Clear
2742,10.0,Overcast,10.0,Overcast
2743,8.0,Clear,8.0,Clear
2744,10.0,Scattered Clouds,10.0,Scattered Clouds
2745,10.0,Clear,10.0,Clear
2746,10.0,Clear,10.0,Clear
2747,10.0,Clear,10.0,Clear
2748,5.0,Haze,5.0,Haze
2749,10.0,Overcast,10.0,Overcast
2750,10.0,Overcast,10.0,Partly Cloudy
2751,7.0,Clear,7.0,Clear
2752,10.0,Clear,10.0,Clear
2753,10.0,Overcast,10.0,Partly Cloudy
2754,10.0,Clear,10.0,Clear
2755,10.0,Clear,10.0,Clear
2756,10.0,Clear,10.0,Clear
2757,10.0,Clear,10.0,Clear
2758,9.0,Scattered Clouds,9.0,Scattered Clouds
2759,10.0,Clear,10.0,Clear
2760,4.0,Light Rain,4.0,Light Rain
2761,6.0,Haze,6.0,Haze
2762,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2763,10.0,Clear,10.0,Clear
2764,8.0,Clear,8.0,Clear
2765,10.0,Clear,10.0,Clear
2766,10.0,Overcast,10.0,Overcast
2767,8.0,Light Rain,2.0,Rain
2768,10.0,Clear,10.0,Clear
2769,9.0,Overcast,9.0,Overcast
2770,10.0,Clear,10.0,Clear
2771,10.0,Clear,10.0,Clear
2772,10.0,Clear,10.0,Clear
2773,10.0,Clear,10.0,Clear
2774,10.0,Clear,10.0,Clear
2775,10.0,Clear,10.0,Clear
2776,10.0,Clear,10.0,Clear
2777,10.0,Clear,10.0,Clear
2778,10.0,Clear,10.0,Clear
2779,10.0,Clear,10.0,Clear
2780,10.0,Clear,10.0,Clear
2781,10.0,Clear,10.0,Clear
2782,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2783,10.0,Clear,10.0,Clear
2784,10.0,Scattered Clouds,10.0,Mostly Cloudy
2785,10.0,Clear,10.0,Clear
2786,10.0,Clear,10.0,Clear
2787,8.0,Overcast,9.0,Overcast
2788,9.0,Clear,9.0,Clear
2789,10.0,Clear,10.0,Clear
2790,10.0,Clear,10.0,Clear
2791,10.0,Mostly Cloudy,10.0,Clear
2792,5.0,Haze,5.0,Haze
2793,10.0,Clear,10.0,Clear
2794,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2795,10.0,Clear,10.0,Clear
2796,10.0,Overcast,10.0,Overcast
2797,9.0,Overcast,9.0,Overcast
2798,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2799,10.0,Scattered Clouds,10.0,Scattered Clouds
2800,10.0,Clear,10.0,Clear
2801,10.0,Overcast,10.0,Overcast
2802,10.0,Clear,10.0,Clear
2803,10.0,Clear,10.0,Clear
2804,10.0,Clear,10.0,Clear
2805,10.0,Clear,10.0,Clear
2806,10.0,Clear,10.0,Clear
2807,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2808,10.0,Clear,10.0,Clear
2809,10.0,Clear,10.0,Clear
2810,10.0,Clear,10.0,Clear
2811,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2812,10.0,Clear,10.0,Overcast
2813,8.0,Clear,7.0,Clear
2814,10.0,Clear,10.0,Clear
2815,5.0,Haze,5.0,Haze
2816,10.0,Clear,10.0,Clear
2817,10.0,Clear,10.0,Clear
2818,10.0,Overcast,10.0,Overcast
2819,10.0,Clear,10.0,Clear
2820,7.0,Light Rain,7.0,Light Rain
2821,10.0,Clear,10.0,Clear
2822,10.0,Clear,10.0,Clear
2823,10.0,Clear,10.0,Clear
2824,10.0,Scattered Clouds,10.0,Scattered Clouds
2825,10.0,Clear,10.0,Clear
2826,10.0,Clear,10.0,Partly Cloudy
2827,10.0,Clear,10.0,Clear
2828,8.0,Clear,8.0,Clear
2829,10.0,Clear,10.0,Clear
2830,10.0,Clear,10.0,Clear
2831,10.0,Clear,10.0,Clear
2832,10.0,Overcast,10.0,Overcast
2833,10.0,Clear,10.0,Clear
2834,10.0,Clear,10.0,Clear
2835,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2836,10.0,Clear,10.0,Clear
2837,10.0,Clear,10.0,Clear
2838,6.0,Light Rain,2.5,Rain
2839,9.0,Clear,9.0,Clear
2840,6.0,Haze,6.0,Haze
2841,10.0,Clear,10.0,Clear
2842,10.0,Overcast,10.0,Overcast
2843,9.0,Overcast,9.0,Overcast
2844,10.0,Clear,10.0,Clear
2845,8.0,Partly Cloudy,8.0,Partly Cloudy
2846,10.0,Partly Cloudy,10.0,Partly Cloudy
2847,10.0,Clear,10.0,Clear
2848,5.0,Light Rain,5.0,Overcast
2849,10.0,Overcast,10.0,Overcast
2850,10.0,Clear,10.0,Clear
2851,10.0,Clear,10.0,Clear
2852,9.0,Clear,9.0,Clear
2853,10.0,Clear,10.0,Clear
2854,10.0,Clear,10.0,Clear
2855,10.0,Clear,10.0,Clear
2856,6.0,Overcast,5.0,Light Rain
2857,10.0,Clear,10.0,Clear
2858,10.0,Overcast,10.0,Overcast
2859,7.0,Overcast,7.0,Overcast
2860,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2861,10.0,Clear,10.0,Clear
2862,8.0,Partly Cloudy,8.0,Partly Cloudy
2863,10.0,Clear,10.0,Clear
2864,10.0,Clear,10.0,Clear
2865,10.0,Clear,10.0,Clear
2866,10.0,Clear,10.0,Clear
2867,10.0,Clear,10.0,Clear
2868,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2869,10.0,Overcast,10.0,Overcast
2870,10.0,Clear,10.0,Clear
2871,3.0,Heavy Rain,3.0,Heavy Rain
2872,10.0,Clear,10.0,Clear
2873,10.0,Clear,10.0,Clear
2874,10.0,Overcast,10.0,Overcast
2875,10.0,Partly Cloudy,10.0,Scattered Clouds
2876,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2877,10.0,Clear,10.0,Clear
2878,10.0,Clear,10.0,Clear
2879,8.0,Partly Cloudy,8.0,Partly Cloudy
2880,10.0,Clear,10.0,Clear
2881,10.0,Mostly Cloudy,10.0,Mostly Cloudy
2882,9.0,Clear,9.0,Clear
2883,10.0,Clear,10.0,Clear
2884,10.0,Clear,10.0,Clear
2885,7.0,Clear,7.0,Clear
2886,10.0,Clear,10.0,Clear
2887,10.0,Clear,10.0,Clear
2888,10.0,Clear,10.0,Clear
2889,10.0,Clear,10.0,Clear
